,,0,1,2,3,4
I-positive,I-neutral,-inf,-inf,-1168174.77547063,-18318.84952877694,-inf
I-negative,I-positive,-inf,-inf,-1168174.77547063,-18324.048025808206,-inf
O,I-neutral,-inf,-inf,-1055114.242742822,-71824.08484715478,-inf
B-neutral,B-negative,-inf,-inf,-18318.84952877694,-18318.84952877694,-inf
B-negative,B-negative,-inf,-inf,-59171.327156941785,-18318.84952877694,-inf
START,I-positive,-inf,-1168174.77547063,-inf,-inf,-inf
I-neutral,I-positive,-inf,-inf,-1168174.77547063,-24063.335741032693,-inf
B-positive,B-positive,-inf,-inf,-52954.036518290086,-8212.4142588812,-inf
B-neutral,I-negative,-inf,-inf,-18318.84952877694,-18324.300567230504,-inf
B-negative,I-negative,-inf,-inf,-5122.482605599499,-5451.134118969166,-inf
O,B-neutral,-inf,-inf,-5784.069680663236,-8068.407179251015,-inf
I-positive,B-neutral,-inf,-inf,-1168174.77547063,-18318.84952877694,-inf
I-negative,B-positive,-inf,-inf,-1168174.77547063,-18318.84952877694,-inf
START,B-positive,-inf,-5209.762071129197,-inf,-inf,-inf
STOP,O,-inf,-inf,-inf,-inf,-inf
I-neutral,B-positive,-inf,-inf,-1168174.77547063,-24058.137244001424,-inf
B-positive,B-negative,-inf,-inf,-52954.036518290086,-18318.84952877694,-inf
STOP,STOP,-inf,-inf,-inf,-inf,-inf
B-positive,I-negative,-inf,-inf,-52954.036518290086,-18324.300567230504,-inf
I-positive,I-positive,-inf,-inf,-1168174.77547063,-5450.527083230588,-inf
I-negative,B-negative,-inf,-inf,-1168174.77547063,-18318.84952877694,-inf
O,I-positive,-inf,-inf,-1055114.242742822,-71829.28334418604,-inf
I-neutral,B-negative,-inf,-inf,-1168174.77547063,-24058.137244001424,-inf
START,B-negative,-inf,-5004.063614627961,-inf,-inf,-inf
STOP,I-neutral,-inf,-inf,-inf,-inf,-inf
START,I-negative,-inf,-1168174.77547063,-inf,-inf,-inf
I-negative,I-negative,-inf,-inf,-1168174.77547063,-5174.252310737957,-inf
I-neutral,I-negative,-inf,-inf,-1168174.77547063,-24063.58828245499,-inf
B-neutral,O,-inf,-inf,-7663.424308921291,-9153.29533948644,-inf
B-negative,O,-inf,-inf,-5032.136079833383,-7807.695418945781,-inf
B-neutral,STOP,-inf,-inf,-inf,-inf,563757165.0891705
B-negative,STOP,-inf,-inf,-inf,-inf,25864020.24434617
O,B-positive,-inf,-inf,-3308.2771204510036,-7595.583976512423,-inf
STOP,B-neutral,-inf,-inf,-inf,-inf,-inf
I-positive,B-positive,-inf,-inf,-1168174.77547063,-18318.84952877694,-inf
B-neutral,I-neutral,-inf,-inf,-7692.9032507929805,-5930.474333143837,-inf
B-negative,I-neutral,-inf,-inf,-59171.327156941785,-18318.84952877694,-inf
B-positive,O,-inf,-inf,-5223.9933680326985,-6756.541237080285,-inf
I-positive,B-negative,-inf,-inf,-1168174.77547063,-18318.84952877694,-inf
B-neutral,B-neutral,-inf,-inf,-18318.84952877694,-18318.84952877694,-inf
O,B-negative,-inf,-inf,-4355.173259367972,-7572.395375954021,-inf
STOP,I-positive,-inf,-inf,-inf,-inf,-inf
O,I-negative,-inf,-inf,-1055114.242742822,-71829.53588560835,-inf
B-positive,STOP,-inf,-inf,-inf,-inf,29436736.762129474
I-positive,I-negative,-inf,-inf,-1168174.77547063,-18324.300567230504,-inf
B-negative,B-neutral,-inf,-inf,-59171.327156941785,-18318.84952877694,-inf
START,O,-inf,-184.00832903238603,-inf,-inf,-inf
I-negative,O,-inf,-inf,-1168184.8823887026,-8592.954418246745,-inf
I-negative,STOP,-inf,-inf,-inf,-inf,2972602.8255274664
I-neutral,O,-inf,-inf,-1168184.8823887026,-11068.119863228654,-inf
B-positive,I-neutral,-inf,-inf,-52954.036518290086,-18318.84952877694,-inf
STOP,B-positive,-inf,-inf,-inf,-inf,-inf
I-negative,I-neutral,-inf,-inf,-1168174.77547063,-18318.84952877694,-inf
B-neutral,I-positive,-inf,-inf,-18318.84952877694,-18324.048025808206,-inf
B-negative,I-positive,-inf,-inf,-59171.327156941785,-18324.048025808206,-inf
I-neutral,STOP,-inf,-inf,-inf,-inf,109552338.30066478
B-positive,B-neutral,-inf,-inf,-52954.036518290086,-18318.84952877694,-inf
START,I-neutral,-inf,-1168174.77547063,-inf,-inf,-inf
PRESTART,START,1.0,-inf,-inf,-inf,-inf
I-neutral,I-neutral,-inf,-inf,-1168174.77547063,-7699.855710846058,-inf
START,B-neutral,-inf,-7652.282497776448,-inf,-inf,-inf
STOP,B-negative,-inf,-inf,-inf,-inf,-inf
I-negative,B-neutral,-inf,-inf,-1168174.77547063,-18318.84952877694,-inf
B-neutral,B-positive,-inf,-inf,-18318.84952877694,-18318.84952877694,-inf
B-negative,B-positive,-inf,-inf,-59171.327156941785,-18318.84952877694,-inf
I-neutral,B-neutral,-inf,-inf,-1168174.77547063,-24058.137244001424,-inf
I-positive,O,-inf,-inf,-1168184.8823887026,-8839.769480172836,-inf
O,O,-inf,-inf,-534.573937372252,-6665.256870075794,-inf
I-positive,STOP,-inf,-inf,-inf,-inf,2058257.234562154
O,STOP,-inf,-inf,-inf,-inf,379530125.8826825
STOP,I-negative,-inf,-inf,-inf,-inf,-inf
B-positive,I-positive,-inf,-inf,-5398.5947544333585,-4862.445631742078,-inf
